user_id,signup_date,lead_source,organization_type,organization_size,expected_student_count,role_title,primary_use_case,required_features,current_solution,decision_timeframe,converted,conversion_date
USR001,2024-01-02 09:15:23,Education Conference,Corporate Training,501-1000,1000-5000,Training Manager,Employee Training,"Course Creation, Virtual Classroom, Assessment Tools, Analytics & Reporting, Integration Capabilities",Competitor Product,Within 1 month,true,2024-01-25
USR002,2024-01-02 11:30:45,Google Search,Higher Education,1000+,5000+,Department Head,Academic Courses,"Course Creation, Assessment Tools, Analytics & Reporting",Custom Built Solution,3-6 months,false,
USR003,2024-01-03 14:20:11,Product Review Site,Corporate Training,201-500,501-1000,HR Manager,Compliance Training,"Course Creation, Assessment Tools, Compliance Training, Analytics & Reporting, Integration Capabilities",Competitor Product,1-3 months,true,2024-01-28
USR004,2024-01-03 15:45:30,Direct Traffic,Individual Course Creator,1-50,<100,Independent Instructor,Skills Development,"Course Creation, Virtual Classroom",No LMS,Just exploring,false,
USR005,2024-01-04 10:25:17,Education Conference,Professional Training Provider,51-200,100-500,Course Creator,Professional Certification,"Course Creation, Assessment Tools, Certification Management, Analytics & Reporting",Basic Tools,Within 1 month,true,2024-01-29
USR006,2024-01-04 13:40:22,Social Media,K-12 School,51-200,100-500,Teacher/Professor,Academic Courses,"Course Creation, Assessment Tools",Basic Tools,6+ months,false,
USR007,2024-01-05 09:10:45,Product Review Site,Corporate Training,1000+,1000-5000,Training Manager,Employee Training,"Course Creation, Virtual Classroom, Assessment Tools, Analytics & Reporting, Integration Capabilities, Compliance Training",Competitor Product,Within 1 month,true,2024-01-30
USR008,2024-01-05 14:25:33,Referral,Higher Education,501-1000,1000-5000,Department Head,Academic Courses,"Course Creation, Virtual Classroom, Assessment Tools, Analytics & Reporting, Content Library",Custom Built Solution,1-3 months,true,2024-01-31
USR009,2024-01-06 10:15:20,Direct Traffic,Individual Course Creator,1-50,<100,Independent Instructor,Skills Development,"Course Creation, Virtual Classroom",No LMS,Just exploring,false,
USR010,2024-01-06 11:30:15,Education Conference,Corporate Training,201-500,501-1000,HR Manager,Compliance Training,"Course Creation, Assessment Tools, Compliance Training, Analytics & Reporting",Basic Tools,1-3 months,true,2024-02-01
USR011,2024-01-07 09:20:45,Social Media,Individual Course Creator,1-50,<100,Independent Instructor,Skills Development,"Course Creation, Assessment Tools",No LMS,Just exploring,false,
USR012,2024-01-07 13:15:30,Product Review Site,Professional Training Provider,201-500,501-1000,Training Manager,Professional Certification,"Course Creation, Assessment Tools, Certification Management, Analytics & Reporting, Integration Capabilities",Competitor Product,Within 1 month,true,2024-02-02
USR013,2024-01-08 10:30:22,Education Conference,Corporate Training,1000+,5000+,HR Manager,Employee Training,"Course Creation, Virtual Classroom, Assessment Tools, Analytics & Reporting, Integration Capabilities, Compliance Training",Custom Built Solution,1-3 months,true,2024-02-03
USR014,2024-01-08 14:45:11,Google Search,K-12 School,51-200,100-500,Teacher/Professor,Academic Courses,"Course Creation, Assessment Tools, Content Library",Basic Tools,3-6 months,false,
USR015,2024-01-09 09:05:33,Referral,Higher Education,501-1000,1000-5000,Department Head,Academic Courses,"Course Creation, Virtual Classroom, Assessment Tools, Analytics & Reporting, Content Library",Competitor Product,Within 1 month,true,2024-02-04
