user_id,conversion_probability,version
USR2001,0.4378,63f1b5f0423c4c298f7384feb245ee40
USR2002,0.3829,63f1b5f0423c4c298f7384feb245ee40
USR2003,0.3777,63f1b5f0423c4c298f7384feb245ee40
USR2004,0.5065,63f1b5f0423c4c298f7384feb245ee40
USR2005,0.5681,63f1b5f0423c4c298f7384feb245ee40
USR2006,0.5155,63f1b5f0423c4c298f7384feb245ee40
USR2007,0.3742,63f1b5f0423c4c298f7384feb245ee40
USR2008,0.557,63f1b5f0423c4c298f7384feb245ee40
USR2009,0.444,63f1b5f0423c4c298f7384feb245ee40
USR2010,0.5042,63f1b5f0423c4c298f7384feb245ee40
USR2011,0.6014,63f1b5f0423c4c298f7384feb245ee40
USR2012,0.5671,63f1b5f0423c4c298f7384feb245ee40
USR2013,0.5627,63f1b5f0423c4c298f7384feb245ee40
USR2014,0.3645,63f1b5f0423c4c298f7384feb245ee40
USR2015,0.4681,63f1b5f0423c4c298f7384feb245ee40
USR2016,0.5509,63f1b5f0423c4c298f7384feb245ee40
USR2017,0.466,63f1b5f0423c4c298f7384feb245ee40
USR2018,0.6288,63f1b5f0423c4c298f7384feb245ee40
USR2019,0.4359,63f1b5f0423c4c298f7384feb245ee40
USR2020,0.4644,63f1b5f0423c4c298f7384feb245ee40
USR2021,0.3597,63f1b5f0423c4c298f7384feb245ee40
USR2022,0.478,63f1b5f0423c4c298f7384feb245ee40
USR2023,0.468,63f1b5f0423c4c298f7384feb245ee40
USR2024,0.5011,63f1b5f0423c4c298f7384feb245ee40
USR2025,0.4455,63f1b5f0423c4c298f7384feb245ee40
USR2026,0.4862,63f1b5f0423c4c298f7384feb245ee40
USR2027,0.4367,63f1b5f0423c4c298f7384feb245ee40
USR2028,0.569,63f1b5f0423c4c298f7384feb245ee40
USR2029,0.389,63f1b5f0423c4c298f7384feb245ee40
USR2030,0.4033,63f1b5f0423c4c298f7384feb245ee40
USR2031,0.2774,63f1b5f0423c4c298f7384feb245ee40
USR2032,0.6169,63f1b5f0423c4c298f7384feb245ee40
USR2033,0.6087,63f1b5f0423c4c298f7384feb245ee40
USR2034,0.5409,63f1b5f0423c4c298f7384feb245ee40
USR2035,0.4715,63f1b5f0423c4c298f7384feb245ee40
USR2036,0.4932,63f1b5f0423c4c298f7384feb245ee40
USR2037,0.5628,63f1b5f0423c4c298f7384feb245ee40
USR2038,0.5086,63f1b5f0423c4c298f7384feb245ee40
USR2039,0.36,63f1b5f0423c4c298f7384feb245ee40
USR2040,0.375,63f1b5f0423c4c298f7384feb245ee40
USR2041,0.5799,63f1b5f0423c4c298f7384feb245ee40
USR2042,0.5286,63f1b5f0423c4c298f7384feb245ee40
USR2043,0.3343,63f1b5f0423c4c298f7384feb245ee40
USR2044,0.5099,63f1b5f0423c4c298f7384feb245ee40
USR2045,0.3424,63f1b5f0423c4c298f7384feb245ee40
USR2046,0.6075,63f1b5f0423c4c298f7384feb245ee40
