user_id,signup_date,lead_source,organization_type,organization_size,expected_student_count,role_title,primary_use_case,required_features,current_solution,decision_timeframe,converted,conversion_date
USR001,2024-01-15 09:23:45,Google Search,Corporate Training,501-1000,1000-5000,Training Manager,"Employee Training","Course Creation,Analytics & Reporting,Certification Management",No LMS,1-3 months,true,2024-02-10
USR002,2024-01-15 14:12:33,Education Conference,Higher Education,1000+,5000+,Department Head,"Academic Courses","Course Creation,Virtual Classroom,Assessment Tools,Analytics & Reporting",Competitor Product,3-6 months,false,
USR003,2024-01-16 08:45:22,Social Media,Individual Course Creator,1-50,<100,Independent Instructor,"Skills Development","Course Creation,Mobile Learning",Basic Tools,Just exploring,false,
USR004,2024-01-16 11:32:15,Product Review Site,Professional Training Provider,51-200,100-500,Course Creator,"Professional Certification","Course Creation,Assessment Tools,Certification Management",Competitor Product,Within 1 month,true,2024-02-01
USR005,2024-01-17 15:20:11,Referral,Corporate Training,201-500,501-1000,HR Manager,"Compliance Training","Compliance Training,Analytics & Reporting,Integration Capabilities",Custom Built Solution,1-3 months,true,2024-02-12
USR006,2024-01-18 09:15:43,Direct Traffic,K-12 School,51-200,100-500,Teacher/Professor,"Academic Courses","Course Creation,Virtual Classroom,Assessment Tools",No LMS,6+ months,false,
USR007,2024-01-18 16:45:32,Google Search,Certification Body,51-200,100-500,Training Manager,"Professional Certification","Assessment Tools,Certification Management,Analytics & Reporting",Basic Tools,Within 1 month,true,2024-02-05
USR008,2024-01-19 10:22:17,Social Media,Corporate Training,1000+,1000-5000,IT Administrator,"Employee Training","Integration Capabilities,Mobile Learning,Analytics & Reporting",Competitor Product,3-6 months,false,
USR009,2024-01-19 14:17:55,Education Conference,Higher Education,501-1000,1000-5000,Department Head,"Academic Courses","Course Creation,Virtual Classroom,Content Library",Custom Built Solution,1-3 months,true,2024-02-15
USR010,2024-01-20 08:30:41,Product Review Site,Professional Training Provider,201-500,501-1000,Course Creator,"Skills Development","Course Creation,Assessment Tools,Content Library",No LMS,Within 1 month,true,2024-02-08
USR011,2024-01-20 13:25:19,Referral,Individual Course Creator,1-50,<100,Independent Instructor,"Professional Certification","Course Creation,Mobile Learning,Virtual Classroom",Basic Tools,Just exploring,false,
USR012,2024-01-21 09:10:28,Google Search,Corporate Training,501-1000,1000-5000,Training Manager,"Compliance Training","Compliance Training,Certification Management,Analytics & Reporting",Competitor Product,1-3 months,true,2024-02-18
USR013,2024-01-21 15:40:33,Direct Traffic,Higher Education,1000+,5000+,Teacher/Professor,"Academic Courses","Course Creation,Assessment Tools,Analytics & Reporting",Custom Built Solution,3-6 months,false,
USR014,2024-01-22 11:05:27,Social Media,K-12 School,201-500,501-1000,Department Head,"Skills Development","Course Creation,Virtual Classroom,Mobile Learning",No LMS,1-3 months,false,
USR015,2024-01-22 16:33:52,Education Conference,Professional Training Provider,51-200,100-500,Course Creator,"Professional Certification","Assessment Tools,Certification Management,Content Library",Basic Tools,Within 1 month,true,2024-02-25
