user_id,signup_date,lead_source,organization_type,organization_size,expected_student_count,role_title,primary_use_case,required_features,current_solution,decision_timeframe,converted,conversion_date
USR001,2024-03-15,Product Review Site,Individual Course Creator,51-200,100-500,Department Head,Compliance Training,"Course Creation, Certification Management, Mobile Learning, Virtual Classroom",Competitor Product,3-6 months,False,
USR002,2024-01-08,Social Media,K-12 School,1000+,1000-5000,HR Manager,Compliance Training,"Assessment Tools, Course Creation, Virtual Classroom, Compliance Training, Content Library",Custom Built Solution,Within 1 month,False,
USR003,2024-03-15,Direct Traffic,Corporate Training,1-50,5000+,HR Manager,Professional Certification,"Content Library, Compliance Training, Integration Capabilities, Analytics & Reporting",Custom Built Solution,Within 1 month,False,
USR004,2024-02-07,Education Conference,Certification Body,201-500,1000-5000,HR Manager,Employee Training,"Course Creation, Mobile Learning",Competitor Product,3-6 months,False,
USR005,2024-03-14,Google Search,Corporate Training,201-500,<100,Training Manager,Academic Courses,"Integration Capabilities, Mobile Learning, Certification Management, Compliance Training, Analytics & Reporting",Custom Built Solution,6+ months,False,
USR006,2024-01-28,Education Conference,Higher Education,201-500,<100,Department Head,Skills Development,"Certification Management, Virtual Classroom, Content Library",Basic Tools,Just exploring,False,
USR007,2024-02-21,Education Conference,Higher Education,1000+,100-500,Teacher/Professor,Compliance Training,"Course Creation, Mobile Learning, Content Library",No LMS,1-3 months,False,
USR008,2024-02-03,Social Media,K-12 School,201-500,100-500,Independent Instructor,Academic Courses,"Compliance Training, Virtual Classroom, Assessment Tools, Mobile Learning, Analytics & Reporting, Course Creation",Custom Built Solution,1-3 months,True,2024-02-27 16:09:10.782216
USR009,2024-02-06,Education Conference,Corporate Training,201-500,5000+,Department Head,Professional Certification,"Compliance Training, Assessment Tools, Analytics & Reporting, Course Creation",No LMS,Within 1 month,True,2024-03-01 08:15:58.912019
USR010,2024-01-31,Product Review Site,Higher Education,501-1000,501-1000,Training Manager,Employee Training,"Virtual Classroom, Compliance Training, Analytics & Reporting, Mobile Learning, Course Creation, Certification Management",No LMS,6+ months,True,2024-02-21 11:12:06.640260
USR011,2024-01-22,Social Media,Individual Course Creator,1000+,501-1000,IT Administrator,Employee Training,"Virtual Classroom, Integration Capabilities, Assessment Tools, Certification Management, Compliance Training",Competitor Product,Within 1 month,False,
USR012,2024-01-15,Product Review Site,Certification Body,201-500,5000+,Teacher/Professor,Compliance Training,"Assessment Tools, Virtual Classroom, Compliance Training, Content Library, Course Creation",Custom Built Solution,3-6 months,True,2024-02-03 06:38:39.522209
USR013,2024-02-09,Product Review Site,Higher Education,501-1000,5000+,Training Manager,Employee Training,"Analytics & Reporting, Mobile Learning, Assessment Tools, Course Creation",Competitor Product,Within 1 month,True,2024-02-29 06:47:36.804785
USR014,2024-02-20,Social Media,Individual Course Creator,1-50,<100,Department Head,Skills Development,"Virtual Classroom, Content Library, Integration Capabilities",Custom Built Solution,1-3 months,False,
USR015,2024-03-29,Referral,Corporate Training,51-200,100-500,HR Manager,Professional Certification,"Assessment Tools, Mobile Learning, Integration Capabilities",Custom Built Solution,3-6 months,False,
USR016,2024-02-08,Education Conference,Professional Training Provider,51-200,100-500,Course Creator,Academic Courses,"Assessment Tools, Certification Management, Virtual Classroom, Analytics & Reporting, Integration Capabilities, Content Library, Course Creation",Competitor Product,1-3 months,False,
USR017,2024-02-10,Social Media,Professional Training Provider,51-200,<100,HR Manager,Employee Training,"Integration Capabilities, Compliance Training, Assessment Tools, Analytics & Reporting",No LMS,3-6 months,False,
USR018,2024-03-10,Social Media,Higher Education,1000+,1000-5000,Teacher/Professor,Employee Training,"Integration Capabilities, Content Library, Compliance Training, Analytics & Reporting, Certification Management",Basic Tools,3-6 months,False,
USR019,2024-03-12,Social Media,Professional Training Provider,1-50,100-500,Independent Instructor,Academic Courses,"Compliance Training, Course Creation, Certification Management, Assessment Tools",Competitor Product,3-6 months,True,2024-04-02 13:59:07.099553
USR020,2024-03-06,Referral,Corporate Training,1-50,5000+,Independent Instructor,Skills Development,"Compliance Training, Virtual Classroom, Certification Management, Assessment Tools",Basic Tools,3-6 months,False,
USR021,2024-01-10,Product Review Site,Certification Body,1-50,100-500,Training Manager,Skills Development,"Integration Capabilities, Virtual Classroom, Compliance Training, Assessment Tools, Mobile Learning",No LMS,6+ months,False,
USR022,2024-01-24,Social Media,Individual Course Creator,1-50,100-500,Independent Instructor,Professional Certification,"Analytics & Reporting, Course Creation, Mobile Learning, Integration Capabilities, Certification Management",Basic Tools,3-6 months,False,
USR023,2024-02-18,Education Conference,K-12 School,201-500,100-500,Training Manager,Compliance Training,"Course Creation, Virtual Classroom, Mobile Learning, Assessment Tools",Custom Built Solution,1-3 months,False,
USR024,2024-02-06,Referral,K-12 School,501-1000,<100,IT Administrator,Academic Courses,"Mobile Learning, Course Creation, Integration Capabilities, Content Library",Basic Tools,1-3 months,False,
USR025,2024-03-27,Referral,Corporate Training,1000+,<100,Course Creator,Customer Training,"Virtual Classroom, Content Library, Analytics & Reporting, Mobile Learning",Competitor Product,6+ months,True,2024-04-19 03:25:30.603297
